,案例1,案例2,sim_w2v,sim_original,sim_vsm,sim_BERT,sim_Human
66,0425\0.json,0425\7.json,0.634,0.5,0.518475847,0.699368105,0.516793898
67,0425\0.json,0425\70.json,0.542,0.497,0.589255651,0.808277429,0.4775
68,0425\0.json,0425\71.json,0.715,0.565,0.641623653,0.758397925,0.520544309
69,0425\0.json,0425\72.json,0.72,0.704,0.667823071,0.74351906,0.778997212
70,0425\0.json,0425\73.json,0.545,0.5,0.559430928,0.785242097,0.533069963
71,0425\0.json,0425\74.json,0.515,0.47,0.52167203,0.84392888,0.525625
72,0425\0.json,0425\75.json,0.618,0.472,0.481481481,0.759311848,0.513879081
73,0425\0.json,0425\76.json,0.551,0.487,0.536056267,0.758467924,0.501503968
74,0425\0.json,0425\77.json,0.555,0.505,0.545544726,0.70479967,0.513879081
75,0425\0.json,0425\78.json,0.569,0.524,0.574426958,0.700135739,0.571486276
76,0425\0.json,0425\79.json,0.692,0.678,0.755928946,0.765847652,0.588639927
77,0425\0.json,0425\8.json,0.659,0.538,0.615457455,0.776097803,0.525625
78,0425\0.json,0425\80.json,0.545,0.487,0.561800648,0.610638519,0.533069963
79,0425\0.json,0425\81.json,0.673,0.561,0.518518519,0.803517449,0.507936922
80,0425\0.json,0425\82.json,0.594,0.442,0.52167203,0.797445556,0.4775
81,0425\0.json,0425\83.json,0.533,0.514,0.573964021,0.669879889,0.525625
82,0425\0.json,0425\84.json,0.655,0.499,0.545948683,0.802804002,0.520544309
83,0425\0.json,0425\85.json,0.533,0.478,0.52167203,0.704361432,0.520544309
84,0425\0.json,0425\86.json,0.618,0.551,0.667823071,0.76842012,0.4775
85,0425\0.json,0425\87.json,0.561,0.516,0.589255651,0.751170987,0.505901878
86,0425\0.json,0425\88.json,0.569,0.432,0.481543412,0.776511155,0.4775
87,0425\0.json,0425\89.json,0.712,0.662,0.654653671,0.849029988,0.704509678
88,0425\0.json,0425\9.json,0.642,0.514,0.573964021,0.712093313,0.525625
89,0425\0.json,0425\90.json,0.551,0.531,0.615457455,0.873399104,0.533069963
90,0425\0.json,0425\91.json,0.734,0.67,0.581914374,0.801689393,0.766471557
91,0425\0.json,0425\92.json,0.629,0.486,0.577350269,0.811495939,0.4775
92,0425\0.json,0425\93.json,0.52,0.482,0.561800648,0.723902677,0.505901878
93,0425\0.json,0425\94.json,0.562,0.519,0.573964021,0.821356955,0.533069963
94,0425\0.json,0425\95.json,0.654,0.52,0.574426958,0.730359053,0.533069963
95,0425\0.json,0425\96.json,0.546,0.495,0.566138517,0.757921054,0.525625
96,0425\0.json,0425\97.json,0.553,0.521,0.603881085,0.816177021,0.525625
97,0425\0.json,0425\98.json,0.634,0.497,0.549971941,0.825313123,0.554026878
98,0425\0.json,0425\99.json,0.509,0.465,0.500319183,0.725972644,0.499953656
99,0425\1.json,0425\10.json,0.604,0.58,0.600480577,0.738554371,0.555069963
100,0425\1.json,0425\11.json,0.584,0.584,0.609271796,0.791050404,0.554026878
101,0425\1.json,0425\12.json,0.655,0.594,0.65279121,0.772998763,0.582263459
102,0425\1.json,0425\13.json,0.666,0.548,0.612372436,0.7973963,0.548946186
103,0425\1.json,0425\14.json,0.656,0.517,0.571547607,0.709431392,0.541390646
104,0425\1.json,0425\15.json,0.557,0.523,0.553316745,0.805214655,0.525625
105,0425\1.json,0425\16.json,0.604,0.512,0.640512615,0.722450237,0.526693496
106,0425\1.json,0425\17.json,0.562,0.5,0.530722778,0.728206317,0.505901878
107,0425\1.json,0425\18.json,0.618,0.5,0.560448538,0.629624197,0.4775
108,0425\1.json,0425\19.json,0.7,0.569,0.549971941,0.716341668,0.533069963
109,0425\1.json,0425\2.json,0.678,0.548,0.612372436,0.687681043,0.505901878
110,0425\1.json,0425\20.json,0.688,0.557,0.593366104,0.696867606,0.533069963
111,0425\1.json,0425\21.json,0.672,0.58,0.579066024,0.768713048,0.4995
112,0425\1.json,0425\22.json,0.733,0.641,0.668153105,0.753635482,0.554026878
113,0425\1.json,0425\23.json,0.662,0.575,0.638442398,0.876136423,0.554026878
114,0425\1.json,0425\24.json,0.575,0.525,0.612372436,0.709142011,0.505901878
115,0425\1.json,0425\25.json,0.677,0.569,0.589255651,0.761072838,0.555069963
116,0425\1.json,0425\26.json,0.615,0.576,0.625,0.824719069,0.569737804
117,0425\1.json,0425\27.json,0.697,0.569,0.625,0.735252656,0.555329363
118,0425\1.json,0425\28.json,0.682,0.58,0.65279121,0.779637256,0.567855018
119,0425\1.json,0425\29.json,0.741,0.648,0.696310624,0.584314244,0.561471841
120,0425\1.json,0425\3.json,0.656,0.656,0.730296743,0.729236916,0.637833422
121,0425\1.json,0425\30.json,0.578,0.537,0.560448538,0.774347446,0.533069963
122,0425\1.json,0425\31.json,0.646,0.503,0.565752382,0.720699533,0.505901878
